Country Name,Country Code,Indicator Name,Indicator Code,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Switzerland,CHE,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,3.493720055,4.504930019,4.607029915,4.630479813,4.500879765,4.477369785,4.360300064,4.322100163,4.390319824,4.497429848,4.353189945,4.29914999,4.335649967,4.29061985,4.356999874,4.266739845,4.522940159,4.680630207,,5.092060089,5.055300236,5.059430122,5.071919918,,4.887020111,4.890230179,4.781400204,4.95980978,5.314290047,5.523759842,5.445730209,5.204100132,4.9615798,4.687379837,4.867990017,5.041180134,4.926050186,4.969860077,5.033370018,5.040480137,5.051229954,5.100570202,5.104730129,5.130189896,,,
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,3.5947299,,,3.070450068,3.4823699,4.21999979,4.914299965,,,,,,2.82329011,,,2.250159979,,,2.383719921,2.511820078,2.564699888,2.796250105,3.012459993,3.340150118,3.729219913,3.77583003,,4.081210136,3.963459969,3.538389921,3.262830019,3.021529913,3.21378994,3.792429924,4.230649948,4.162089825,4.045189857,,4.529429913,4.730949879,4.875309944,5.342010021,5.41945982,,,
China,CHN,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,1.708500028,1.816570044,1.749539971,1.958840013,2.14805007,1.911900043,1.948809981,2.034480095,2.076920033,1.998630047,2.008140087,2.061549902,1.804250002,1.764179945,,,,1.65455997,1.657850027,1.985710025,1.841920018,1.853389978,,1.844329953,1.888039947,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,5.865389824,6.785739899,6.462120056,,6.753670216,8.231389999,6.859759808,,,,,,,,,,,,6.781139851,6.50304985,4.78869009,4.301449776,4.056230068,4.030889988,3.787940025,4.094329834,3.703670025,3.668679953,4.090330124,3.967989922,4.127860069,4.105750084,4.00150013,4.258329868,4.341259956,4.41245985,4.553460121,4.137549877,4.654109955,4.729000092,4.577429771,3.494159937,3.97232008,3.80347991,3.256030083,,
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,2.984970093,3.496890068,3.246370077,,2.848340034,2.93091011,2.714730024,2.648960114,3.287100077,3.220230103,2.750999928,,,,,,,,1.779919982,2.424180031,,3.091419935,3.013639927,2.887170076,2.741450071,3.075229883,2.611180067,3.109420061,2.993659973,2.766769886,2.697180033,2.768019915,2.687129974,2.768049955,2.654230118,3.154819965,3.131200075,,
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,2.267309904,2.535049915,2.799819946,1.29945004,0.704140007,0.825699985,0.722500026,0.861199975,0.814840019,,,,,,,,,,,,,,,,,,,,,,1.524979949,,,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,,,
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,5.732299805,7.743020058,,,8.413310051,7.03813982,6.359240055,,,,,,,,,,,,,,6.373119831,4.910339832,,,4.068270206,,,,3.208319902,2.836159945,2.288130045,1.835770011,,,,,6.220789909,,,,4.017199993,4.561470032,,5.46505022,3.511049986,,
Colombia,COL,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,1.754340053,1.729120016,2.597239971,,,3.004290104,2.715270042,,,,2.705250025,,,,,,,,,3.926440001,4.44080019,3.511209965,3.708679914,4.268129826,4.325139999,4.079349995,4.020989895,3.916719913,4.083010197,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.457489967,,
Comoros,COM,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,2.201359987,,,,2.258419991,,,,,,4.42264986,,,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,,,,,
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,6.391769886,6.801680088,,,7.876820087,,7.476640224,,6.529600143,5.407549858,5.518000126,5.308959961,5.567289829,5.043610096,,5.001440048,4.963870049,5.266910076,5.288790226,5.181749821,,,
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,7.347169876,,4.885069847,4.957779884,,,4.420269966,,4.013229847,4.077849865,,,,,,3.371680021,3.910860062,,,5.416870117,4.68696022,4.851099968,5.173540115,5.156360149,4.912179947,,4.639180183,4.658899784,4.91711998,6.046350002,6.634449959,6.455349922,6.68983984,6.849339962,6.869520187,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937,
Caribbean small states,CSS,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,5.228789806,5.858329773,6.026519775,,,3.768079996,,5.457399845,5.766600132,5.87390995,5.579824924,4.603980064,,3.940860033,4.691925049,4.216645002,4.383069992,3.336659908,3.214030027,3.747999907,3.473814964,3.463250041,3.852375031,2.438920021,2.756119967,3.869560003,4.223160028,4.459119916,3.696724892,3.912549973,4.616419792,,5.49022007,6.191319942,6.198480129,6.370600224,6.266640186,6.112460136,6.251080036,6.016540051,5.455770016,5.315080166,5.260620117,5.41478014,5.16918993,
Cuba,CUB,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,8.36909008,,,,,,,,,,,7.14496994,,7.074769974,5.619480133,,,,6.208730221,6.755239964,7.704810143,8.358090401,9.571169853,9.940859795,10.26823044,10.55778027,9.057169914,11.86820984,14.05908012,13.12485981,12.83730984,,,,,,,,,,
Curacao,CUW,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.930950165,,,,,,,
Cayman Islands,CYM,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,4.335020065,3.819700003,3.385489941,3.312340021,3.353130102,3.426009893,3.791320086,3.731780052,,3.601910114,3.586960077,3.488970041,3.448709965,3.375469923,3.376270056,3.339240074,3.5753901,3.780299902,4.09555006,4.159969807,3.741230011,,,,4.772079945,4.9895401,5.11552,5.581669807,6.670229912,6.117720127,6.286670208,6.330269814,6.280829906,6.722760201,7.205450058,6.54279995,6.538539886,,6.483779907,6.448500156,6.346360207,6.163799763,5.777190208,,,
Czech Republic,CZE,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,3.775079966,4.184519768,4.678850174,4.545629978,4.270390034,,3.597199917,3.684809923,3.650890112,3.748549938,3.972559929,4.136429787,4.014239788,3.890379906,4.217100143,3.866630077,3.74454999,4.171279907,4.064459801,4.272140026,4.250860214,4.090889931,3.994620085,5.788849831,5.587379932,3.854020119,,,
Germany,DEU,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,4.407919884,4.336639881,4.430759907,4.494709969,,4.461870193,,,,,,,,4.293960094,4.366799831,4.435949802,4.909510136,4.94367981,4.82487011,4.956580162,4.961110115,4.939620018,4.834980011,4.840219975,4.905119896,,,
Djibouti,DJI,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,7.629479885,9.659999847,7.805429935,8.447600365,8.889849663,9.264670372,8.365889549,8.278779984,8.40625,,,4.49022007,,,,,3.590240002,3.924390078,3.748559952,3.627739906,,
Dominica,DMA,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,4.28990984,,,,,,,,,5.739860058,4.028580189,,,,,,,,,,,,,,,,3.408580065,,,,5.573450089,
Denmark,DNK,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,5.955530167,6.713129997,,5.672120094,5.753469944,5.586490154,5.910930157,,,,,,5.83825016,6.078080177,6.335330009,5.838140011,,5.596759796,,7.772819996,7.471059799,7.471039772,7.884940147,,8.106749535,7.931159973,8.084340096,8.215450287,8.213029861,8.121930122,8.207630157,8.085570335,7.729909897,7.615600109,7.4760499,8.448880196,8.559550285,8.48486042,7.237820148,8.494429588,7.634850025,,,7.816080093,,,
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,2.640789986,,,,,,,,1.538910031,1.463829994,1.334550023,1.210190058,,,,,,,,0.773949981,0.893369973,1.033300042,1.22724998,,,,1.888290048,1.967829943,1.914010048,1.84465003,,,,2.046789885,,,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,7.182010174,6.597420216,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33701992,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,2.442089975,2.896309972,3.733065009,,,4.208930016,2.69233501,2.89222002,,2.748470068,,,3.078419924,3.508500099,3.861939907,4.076770067,4.60902977,4.865959883,4.532395124,,,,,,,
Early-demographic dividend,EAR,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,4.110370159,3.983109951,4.088779926,3.407730103,3.574229956,3.419530034,,4.001780033,3.563529968,4.125389934,,4.02741003,3.79618001,3.712470055,,,,,,,,
East Asia & Pacific,EAS,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,3.016639948,,3.903290033,,,,,,,,,,,,,3.093619943,,,,,,3.499780059,3.864919901,,3.652760029,,,3.392745018,3.413825035,4.392129898,3.639499903,4.125804901,4.536709785,4.1240201,4.152719975,,,,,,
Europe & Central Asia (excluding high income),ECA,"Government expenditure on education, total (% of GDP)",EDSPENDPCGDP,,,,,,,,,,,,,,,,,,,,,,,,,,3.618079901,3.343394995,3.384239912,3.154459953,3.286149979,3.227519989,3.642030001,3.40350008,3.547955036,4.101749897,4.27628994,,4.08673501,3.905565143,,,3.811524987,3.861265063,4.09250021,,,
